walker.pedestrian.0041 ['0041', 'walker', 'pedestrian']
vehicle.carlamotors.firetruck ['firetruck', 'vehicle', 'carlamotors']
static.prop.travelcase ['travelcase', 'static', 'prop']
vehicle.carlamotors.carlacola ['carlacola', 'vehicle', 'carlamotors']
vehicle.mini.cooper_s_2021 ['cooper_s_2021', 'vehicle', 'mini']
static.prop.busstop ['busstop', 'static', 'prop']
walker.pedestrian.0013 ['0013', 'walker', 'pedestrian']
static.prop.trashcan05 ['trashcan05', 'static', 'prop']
static.prop.coconutpalm ['static', 'coconutpalm', 'prop']
vehicle.citroen.c3 ['vehicle', 'c3', 'citroen']
sensor.camera.optical_flow ['sensor', 'optical_flow', 'camera']
static.prop.briefcase ['briefcase', 'static', 'prop']
static.prop.plasticbag ['plasticbag', 'static', 'prop']
static.prop.plantpot07 ['plantpot07', 'static', 'prop']
walker.pedestrian.0044 ['0044', 'walker', 'pedestrian']
static.trigger.friction ['friction', 'static', 'trigger']
static.prop.chainbarrier ['chainbarrier', 'static', 'prop']
static.prop.glasscontainer ['glasscontainer', 'static', 'prop']
static.prop.warningconstruction ['static', 'warningconstruction', 'prop']
static.prop.brokentile01 ['static', 'brokentile01', 'prop']
static.prop.gardenlamp ['gardenlamp', 'static', 'prop']
static.prop.gnome ['gnome', 'static', 'prop']
vehicle.jeep.wrangler_rubicon ['wrangler_rubicon', 'vehicle', 'jeep']
static.prop.guitarcase ['guitarcase', 'static', 'prop']
static.prop.streetfountain ['static', 'streetfountain', 'prop']
static.prop.trafficwarning ['static', 'trafficwarning', 'prop']
static.prop.mobile ['mobile', 'static', 'prop']
static.prop.box01 ['box01', 'static', 'prop']
static.prop.garbage05 ['garbage05', 'static', 'prop']
static.prop.table ['table', 'static', 'prop']
static.prop.creasedbox01 ['static', 'creasedbox01', 'prop']
static.prop.swing ['static', 'swing', 'prop']
static.prop.brokentile02 ['brokentile02', 'static', 'prop']
static.prop.clothesline ['clothesline', 'static', 'prop']
static.prop.fountain ['fountain', 'static', 'prop']
static.prop.doghouse ['doghouse', 'static', 'prop']
vehicle.vespa.zx125 ['zx125', 'vehicle', 'vespa']
walker.pedestrian.0008 ['walker', '0008', 'pedestrian']
controller.ai.walker ['controller', 'walker', 'ai']
static.prop.cypresstree ['static', 'cypresstree', 'prop']
walker.pedestrian.0032 ['walker', '0032', 'pedestrian']
static.prop.box03 ['box03', 'static', 'prop']
static.prop.plantpot08 ['static', 'plantpot08', 'prop']
static.prop.purse ['purse', 'static', 'prop']
static.prop.advertisement ['static', 'advertisement', 'prop']
static.prop.dirtdebris03 ['dirtdebris03', 'static', 'prop']
static.prop.plastictable ['plastictable', 'static', 'prop']
walker.pedestrian.0021 ['0021', 'walker', 'pedestrian']
static.prop.plantpot04 ['plantpot04', 'static', 'prop']
static.prop.slide ['slide', 'static', 'prop']
static.prop.shoppingtrolley ['shoppingtrolley', 'static', 'prop']
static.prop.shoppingcart ['static', 'shoppingcart', 'prop']
static.prop.shoppingbag ['static', 'shoppingbag', 'prop']
static.prop.atm ['atm', 'static', 'prop']
walker.pedestrian.0023 ['0023', 'walker', 'pedestrian']
static.prop.mesh ['mesh', 'static', 'prop']
static.prop.bench03 ['bench03', 'static', 'prop']
static.prop.creasedbox02 ['creasedbox02', 'static', 'prop']
walker.pedestrian.0002 ['0002', 'walker', 'pedestrian']
static.prop.barrel ['barrel', 'static', 'prop']
walker.pedestrian.0006 ['0006', 'walker', 'pedestrian']
walker.pedestrian.0046 ['0046', 'walker', 'pedestrian']
vehicle.dodge.charger_police_2020 ['charger_police_2020', 'vehicle', 'dodge']
walker.pedestrian.0028 ['0028', 'walker', 'pedestrian']
walker.pedestrian.0001 ['0001', 'walker', 'pedestrian']
walker.pedestrian.0043 ['walker', '0043', 'pedestrian']
sensor.other.collision ['collision', 'sensor', 'other']
walker.pedestrian.0040 ['walker', '0040', 'pedestrian']
static.prop.warningaccident ['warningaccident', 'static', 'prop']
walker.pedestrian.0039 ['walker', '0039', 'pedestrian']
walker.pedestrian.0037 ['walker', '0037', 'pedestrian']
static.prop.streetsign04 ['streetsign04', 'static', 'prop']
sensor.other.v2x_custom ['sensor', 'v2x_custom', 'other']
walker.pedestrian.0036 ['0036', 'walker', 'pedestrian']
walker.pedestrian.0034 ['walker', '0034', 'pedestrian']
static.prop.garbage04 ['garbage04', 'static', 'prop']
